BusinessUnit,LineNumber,EntryTime,EntryDate,BatchQty,BuyerName,ProductType,StyleSubCat,PoNumber,GarmentsNumber,OperatorId,MachineId,UserID,DefectName,DefectCount,Color,DefectPos,SMV,Size,TabId,StyleCat,DefectID,ModuleName
Unit-3,Line-3,7:49:22,17/02/2021,5,M&S,NULL,KC.5022L BLACK Lace HL,2011832678,5.05E+23,0,0,50515,na,0,Black,na,2.72,16,1687FB50B627434C81D985F827F0ECBC,na,NULL,NULL
Unit-3,Line-3,7:49:22,17/02/2021,5,M&S,NULL,KC.5022L BLACK Lace HL,2011832678,5.05152E+23,0,0,50515,na,0,Black,na,2.72,16,1687FB50B627434C81D985F827F0ECBC,na,NULL,NULL
Unit-3,Line-3,7:49:22,17/02/2021,5,M&S,NULL,KC.5022L BLACK Lace HL,2011832678,5.05152E+23,0,0,50515,na,0,Black,na,2.72,16,1687FB50B627434C81D985F827F0ECBC,na,NULL,NULL
Unit-3,Line-3,7:49:22,17/02/2021,5,M&S,NULL,KC.5022L BLACK Lace HL,2011832678,5.05152E+23,0,0,50515,na,0,Black,na,2.72,16,1687FB50B627434C81D985F827F0ECBC,na,NULL,NULL
Unit-3,Line-3,7:49:22,17/02/2021,5,M&S,NULL,KC.5022L BLACK Lace HL,2011832678,5.05152E+23,0,0,50515,na,0,Black,na,2.72,16,1687FB50B627434C81D985F827F0ECBC,na,NULL,NULL
Unit-3,Line-7,7:58:29,17/02/2021,45,M&S,NULL,KC-5024L-HILEG,2011834656,7.35317E+22,0,0,7353,High Low,1,SU21 T61 KPKS Core Mono Zebra,Leg,0,18,21C1EFAF56584D7CB95B2E9659E20E00,na,NULL,NULL
Unit-3,Line-7,7:58:59,17/02/2021,45,M&S,NULL,KC-5024L-HILEG,2011834656,7.35317E+22,0,0,7353,na,0,SU21 T61 KPKS Core Mono Zebra,na,0,18,21C1EFAF56584D7CB95B2E9659E20E00,na,NULL,NULL
Unit-3,Line-7,7:58:59,17/02/2021,45,M&S,NULL,KC-5024L-HILEG,2011834656,7.35317E+22,0,0,7353,na,0,SU21 T61 KPKS Core Mono Zebra,na,0,18,21C1EFAF56584D7CB95B2E9659E20E00,na,NULL,NULL
Unit-3,Line-7,7:58:59,17/02/2021,45,M&S,NULL,KC-5024L-HILEG,2011834656,7.35317E+22,0,0,7353,na,0,SU21 T61 KPKS Core Mono Zebra,na,0,18,21C1EFAF56584D7CB95B2E9659E20E00,na,NULL,NULL
Unit-3,Line-7,7:58:59,17/02/2021,45,M&S,NULL,KC-5024L-HILEG,2011834656,7.35317E+22,0,0,7353,na,0,SU21 T61 KPKS Core Mono Zebra,na,0,18,21C1EFAF56584D7CB95B2E9659E20E00,na,NULL,NULL
Unit-3,Line-7,7:58:59,17/02/2021,45,M&S,NULL,KC-5024L-HILEG,2011834656,7.35317E+22,0,0,7353,na,0,SU21 T61 KPKS Core Mono Zebra,na,0,18,21C1EFAF56584D7CB95B2E9659E20E00,na,NULL,NULL
